steps,exercise_minutes,sleep_hours,water_liters,sitting_hours,intensity_code,feeling_code,activity_level
12322,26,5.2,1.6,4.0,2,0,2
8281,14,6.3,3.6,2.6,0,0,1
7892,80,7.7,1.3,6.2,1,0,2
15529,34,7.2,1.8,8.1,2,0,2
14829,71,8.8,1.6,7.7,0,0,2
1456,66,4.9,2.0,6.9,0,0,1
9716,31,9.2,2.7,5.8,2,0,2
10164,8,7.0,3.1,6.2,0,0,1
7993,2,6.4,3.6,4.4,1,1,1
8844,5,4.8,1.7,8.7,2,1,1
11602,78,8.2,4.0,9.5,2,2,2
6410,65,8.4,3.8,6.8,0,1,2
10983,76,6.4,3.4,10.0,2,2,2
9234,63,8.2,3.8,11.1,1,1,2
14509,15,9.4,1.4,9.2,2,2,2
10503,19,5.0,3.5,7.1,0,0,1
3654,22,8.8,1.6,4.0,2,0,1
12240,40,8.1,2.1,5.4,1,0,2
696,83,4.9,4.0,5.3,1,0,1
12949,5,8.3,2.3,5.4,0,1,2
10663,84,9.3,2.9,10.2,1,2,2
8244,63,4.4,3.2,11.6,1,0,2
4837,83,5.2,2.3,11.3,0,2,2
14860,31,7.8,1.3,5.2,0,0,2
2056,50,7.6,2.8,9.8,1,1,2
2537,1,5.1,1.6,3.8,0,0,0
7520,59,7.5,3.8,10.0,2,1,2
14121,50,4.3,2.0,5.9,2,1,2
2753,61,8.6,3.2,8.3,0,1,2
8998,65,7.0,1.4,5.3,2,2,2
10014,42,7.4,1.9,6.7,0,0,2
11543,61,4.2,3.3,4.8,1,2,2
8469,58,7.3,3.9,7.1,1,2,2
8491,21,5.6,2.0,4.8,2,1,2
7375,54,5.2,3.3,6.4,2,2,2
746,42,4.2,2.9,5.4,0,2,1
4809,50,5.4,2.7,6.7,0,1,1
3032,10,4.7,4.0,6.1,0,0,0
2725,1,6.3,3.0,11.1,1,2,0
4906,87,4.2,4.0,10.5,2,2,2
8438,12,7.6,2.3,7.2,2,2,1
12009,27,6.2,1.0,3.9,1,0,2
12254,63,6.9,1.8,8.7,0,2,2
8675,49,8.5,2.3,6.7,2,2,2
9049,35,5.7,2.3,7.4,1,1,2
8083,19,8.8,1.7,11.2,0,0,1
4359,48,8.6,1.0,11.1,1,1,1
4149,45,4.2,2.2,4.6,1,1,1
6767,44,4.5,0.8,3.9,2,0,1
13386,16,8.8,1.2,2.9,2,2,2
2270,38,9.3,3.8,9.1,0,0,1
3626,89,9.2,0.9,6.0,1,0,2
2506,62,5.5,1.7,2.9,1,1,1
3424,38,4.8,3.8,3.4,2,1,2
9465,6,5.1,0.7,3.4,2,1,1
6265,7,6.4,2.5,4.3,0,1,1
7231,19,6.6,4.0,12.0,2,2,2
11658,7,5.8,1.3,2.1,2,0,2
11632,30,5.0,3.0,5.6,2,2,2
5170,48,5.0,2.2,3.5,1,0,2
4936,23,4.9,3.8,2.4,1,1,1
10551,22,6.5,0.8,9.2,2,0,2
6949,28,9.0,3.3,11.5,1,1,2
9827,43,9.0,2.3,5.6,2,1,2
13085,11,6.2,1.6,10.5,1,1,2
14376,39,8.1,1.0,11.2,2,1,2
10741,21,5.5,1.8,9.2,1,2,2
3277,49,6.5,3.4,10.5,0,0,1
2337,35,8.4,3.9,9.0,2,0,1
3731,10,8.3,1.5,9.0,2,2,1
12423,35,7.6,2.0,3.7,0,0,2
7278,58,7.2,1.0,6.5,0,1,2
5050,65,5.7,2.4,11.2,0,1,1
2869,6,5.0,0.9,9.6,1,2,0
2845,19,5.8,2.6,8.2,1,2,1
7318,26,7.6,2.5,5.1,0,2,2
15412,64,8.0,3.7,7.2,0,0,2
14305,69,6.8,3.2,4.7,2,1,2
15421,28,6.7,3.8,10.0,1,2,2
7047,89,4.8,2.3,6.8,1,2,2
10387,65,7.4,2.0,7.1,0,1,2
2435,45,8.7,3.0,10.0,1,1,1
12836,3,6.1,2.2,4.6,0,0,1
12682,39,6.3,1.4,7.4,0,1,2
11624,52,4.0,3.7,2.7,2,1,2
10807,47,5.5,3.5,6.0,0,1,2
11552,1,6.2,2.4,6.6,2,2,2
5164,89,5.6,3.3,7.6,1,1,2
14971,58,8.9,3.0,3.3,2,2,2
8088,82,8.4,0.9,3.3,0,0,2
4157,7,8.0,2.4,10.4,2,0,1
14917,10,8.9,1.1,3.0,2,0,2
13634,9,7.4,3.1,9.5,0,0,2
8834,40,5.1,2.9,5.6,0,1,2
9178,51,5.0,2.9,2.7,0,2,2
7760,16,4.1,1.7,3.5,2,0,1
11554,54,5.0,2.4,4.6,2,2,2
7770,65,8.3,0.7,3.7,1,1,2
10204,58,8.3,3.4,6.8,1,1,2
7025,23,8.7,0.6,4.0,1,2,1
4847,13,5.0,2.4,10.5,2,0,1
9188,41,9.3,1.5,11.6,2,2,2
8415,73,7.8,2.3,6.2,1,2,2
924,68,9.5,2.2,10.1,2,2,2
14093,3,6.2,3.5,4.9,1,2,2
15643,31,7.4,1.0,11.0,2,0,2
15960,19,9.5,2.6,2.8,0,0,2
12314,53,8.5,1.9,6.4,0,1,2
5135,61,6.6,3.0,12.0,0,1,2
3644,11,7.0,1.7,11.4,0,1,0
14131,71,5.4,3.4,2.0,1,1,2
13110,70,8.7,1.9,10.2,2,1,2
11040,5,5.1,2.4,2.6,0,2,1
4073,82,4.6,3.8,2.7,2,1,2
11022,6,4.1,0.6,7.1,1,2,1
777,11,7.1,1.3,9.3,1,2,0
7541,78,6.9,3.4,3.8,2,0,2
9585,4,8.9,2.9,11.5,1,0,1
10219,66,5.3,2.4,8.6,2,2,2
6484,42,7.2,1.0,6.3,0,0,2
6795,46,4.9,2.6,3.7,1,2,2
11747,80,4.1,2.3,5.2,0,0,2
2139,75,9.0,1.6,3.5,2,2,2
8838,18,8.2,2.3,8.5,0,1,1
9992,16,8.2,1.0,9.8,2,2,2
8396,1,5.5,2.1,8.0,1,2,1
6258,78,4.9,1.8,2.5,2,2,2
10226,23,8.3,2.4,2.1,0,0,2
4958,27,5.0,2.6,4.3,1,1,1
8923,16,4.8,1.3,2.3,2,0,1
12909,74,6.0,2.5,7.7,2,2,2
5298,26,5.7,0.6,5.1,0,2,1
9204,9,6.5,1.8,6.9,0,1,1
2529,75,9.4,2.8,8.6,0,1,1
11044,13,7.2,0.7,10.2,2,1,2
6053,29,9.3,1.1,3.5,1,0,1
15986,89,5.3,3.7,4.8,0,1,2
15025,44,7.6,2.4,4.4,1,2,2
7448,41,7.5,3.3,4.4,1,2,2
5573,69,4.6,1.5,7.3,2,1,2
3785,89,4.6,1.4,5.6,2,1,2
3896,77,8.2,0.6,6.6,2,1,2
623,11,6.2,1.9,3.9,1,2,1
12153,53,6.8,3.6,3.2,1,0,2
10515,38,5.6,3.2,4.5,2,0,2
15357,69,8.7,3.1,7.6,0,2,2
13519,21,7.0,3.2,5.2,1,1,2
8277,45,4.5,2.8,10.7,2,0,2
14774,4,4.2,4.0,6.9,0,1,1
11428,88,5.4,3.0,4.8,0,0,2
4142,0,7.7,1.4,9.5,2,2,0
6652,2,7.9,4.0,4.4,0,0,1
2030,14,7.6,3.1,2.4,1,1,1
8269,27,8.8,1.1,5.6,1,2,2
5267,73,4.4,2.2,2.8,2,2,2
15163,76,9.4,2.9,9.7,0,1,2
1624,57,8.9,1.3,7.0,2,2,2
6755,19,9.4,2.0,3.8,2,0,2
7542,56,9.1,4.0,8.5,1,2,2
15033,77,5.2,0.9,11.7,0,2,2
1639,60,6.6,1.6,4.9,1,0,2
9126,40,6.8,1.3,11.4,2,1,2
8350,9,7.4,3.5,5.3,1,0,1
6169,24,6.5,1.6,4.7,2,1,1
13723,30,7.8,1.1,4.2,1,0,2
748,42,4.2,1.5,11.9,2,2,1
12137,27,6.6,3.5,10.0,1,0,2
12768,78,8.9,0.9,7.7,1,0,2
13236,82,6.5,0.8,7.8,0,1,2
15046,30,8.8,1.5,3.6,1,0,2
13779,25,7.6,1.0,3.1,1,0,2
12728,78,9.2,0.7,9.6,1,2,2
4848,40,8.7,3.1,6.7,2,0,2
12815,76,6.2,2.8,6.0,0,1,2
14274,69,9.4,2.1,5.4,2,1,2
13560,26,4.5,2.0,3.7,0,1,2
7668,22,7.4,3.7,7.7,0,0,2
7025,53,6.8,1.0,6.5,0,1,2
15481,55,4.4,1.7,10.0,0,0,2
12497,36,5.7,3.7,5.4,1,0,2
6391,67,7.7,0.7,3.3,0,1,2
774,20,8.3,1.5,2.7,0,0,0
9529,55,8.8,0.9,4.0,0,1,2
3516,43,9.1,2.4,6.2,1,2,2
14697,83,6.8,2.3,11.2,2,1,2
10985,24,7.6,2.5,4.1,1,2,2
4526,35,4.0,2.1,2.1,2,0,1
7755,7,5.5,2.8,5.1,1,2,1
3905,52,9.3,3.5,5.2,2,2,2
2622,61,6.7,0.6,4.7,2,2,2
4114,16,5.0,2.2,10.4,1,2,1
2945,18,4.3,2.1,10.1,2,2,1
11813,53,6.4,2.5,7.2,0,2,2
6507,84,6.4,0.6,4.4,2,1,2
14498,49,7.9,1.5,8.6,1,2,2
